"shortDescription","description","founded","city","country","industries/0","industries/1","industries/2","shortDescription_tokenize"
"AV-industry, digital signage, construction industry","Seloy Live is providing customized interactive glass surfaces that enable immersive augmented customer experiences.

SENSE - Augmented Interactive Window gives exceptional experiences; Interaction is the key to brand engagement and customer engagement is everything. With Seloy Live SENSE you can make your brand really stand out. SENSE is a state-of-the-art combination of a transparent insulating glass unit and an interactive touch surface, available in any size up to 3 x 6 meters.","2016-04-01","Espoo","Finland","construction_and_real_estate","NULL","NULL","industry"
"Medical devices","In many fields of surgery and dentistry, bone has to be cut or removed without damaging the proximal soft structures. Surgify develops new solutions to protect these structures and prevent associated complications. Bleeding, infections and nerve injuries are some of the complications that can severely affect a patients quality of life. Surgify technology improves the safety, speed and precision of bone surgery to minimize these risks.","2017-05-01","Espoo","Finland","health","medtech","NULL","medical"
"Medical devices","In many fields of surgery and dentistry, bone has to be cut or removed without damaging the proximal soft structures. Surgify develops new solutions to protect these structures and prevent associated complications. Bleeding, infections and nerve injuries are some of the complications that can severely affect a patients quality of life. Surgify technology improves the safety, speed and precision of bone surgery to minimize these risks.","2017-05-01","Espoo","Finland","health","medtech","NULL","devices"
"Graphics OS platform for beautiful user experience","Our Vision is that touch experiences will spread everywhere.
!  Our mission is to empower brands to deliver unique user experience to their fans.
€ Featured on millions of smart watches available globally.
# We enable high-end user experience on low-cost HW. 
# We require 1000X less RAM than Wear OS for similar experience. 

€ Cashflow profitable 30+ world-class experts. 30% most experienced craftsmen have 40.000h of professional C-development skills.
","2013-04-01","Espoo","Finland","Design","sports","consumer_electronics","graphics"
"Graphics OS platform for beautiful user experience","Our Vision is that touch experiences will spread everywhere.
!  Our mission is to empower brands to deliver unique user experience to their fans.
€ Featured on millions of smart watches available globally.
# We enable high-end user experience on low-cost HW. 
# We require 1000X less RAM than Wear OS for similar experience. 

€ Cashflow profitable 30+ world-class experts. 30% most experienced craftsmen have 40.000h of professional C-development skills.
","2013-04-01","Espoo","Finland","Design","sports","consumer_electronics","os"
"Graphics OS platform for beautiful user experience","Our Vision is that touch experiences will spread everywhere.
!  Our mission is to empower brands to deliver unique user experience to their fans.
€ Featured on millions of smart watches available globally.
# We enable high-end user experience on low-cost HW. 
# We require 1000X less RAM than Wear OS for similar experience. 

€ Cashflow profitable 30+ world-class experts. 30% most experienced craftsmen have 40.000h of professional C-development skills.
","2013-04-01","Espoo","Finland","Design","sports","consumer_electronics","platform"
"Graphics OS platform for beautiful user experience","Our Vision is that touch experiences will spread everywhere.
!  Our mission is to empower brands to deliver unique user experience to their fans.
€ Featured on millions of smart watches available globally.
# We enable high-end user experience on low-cost HW. 
# We require 1000X less RAM than Wear OS for similar experience. 

€ Cashflow profitable 30+ world-class experts. 30% most experienced craftsmen have 40.000h of professional C-development skills.
","2013-04-01","Espoo","Finland","Design","sports","consumer_electronics","for"
"Graphics OS platform for beautiful user experience","Our Vision is that touch experiences will spread everywhere.
!  Our mission is to empower brands to deliver unique user experience to their fans.
€ Featured on millions of smart watches available globally.
# We enable high-end user experience on low-cost HW. 
# We require 1000X less RAM than Wear OS for similar experience. 

€ Cashflow profitable 30+ world-class experts. 30% most experienced craftsmen have 40.000h of professional C-development skills.
","2013-04-01","Espoo","Finland","Design","sports","consumer_electronics","beautiful"
"Graphics OS platform for beautiful user experience","Our Vision is that touch experiences will spread everywhere.
!  Our mission is to empower brands to deliver unique user experience to their fans.
€ Featured on millions of smart watches available globally.
# We enable high-end user experience on low-cost HW. 
# We require 1000X less RAM than Wear OS for similar experience. 

€ Cashflow profitable 30+ world-class experts. 30% most experienced craftsmen have 40.000h of professional C-development skills.
","2013-04-01","Espoo","Finland","Design","sports","consumer_electronics","user"
"Graphics OS platform for beautiful user experience","Our Vision is that touch experiences will spread everywhere.
!  Our mission is to empower brands to deliver unique user experience to their fans.
€ Featured on millions of smart watches available globally.
# We enable high-end user experience on low-cost HW. 
# We require 1000X less RAM than Wear OS for similar experience. 

€ Cashflow profitable 30+ world-class experts. 30% most experienced craftsmen have 40.000h of professional C-development skills.
","2013-04-01","Espoo","Finland","Design","sports","consumer_electronics","experience"
"Textile","IFC's process technology can turn textile, cardboard and agricultural waste to new and better cotton and not only once but infinitely without compromising in quality and comfort. I

FC is running industrial pilot production in Espoo Finland since March 2018 and the material have been successfully proven by major brands and their present supply chain partners. IFC's revenue 2018 is € 1,4 million from fiber deliveries and prelicense product sales.","2016-10-01","Espoo","Finland","materials_and_coatings","clothing_and_fashion","NULL","textile"
"Viimatech is the cost leader in pump monitoring.","Unique solution to optimize pumps and enable 1 000 000 000 EUR energy and maintenance cost savings in Europe with 30% costs to traditional systems. Extensive, scalable and easy to use solution is based to mathematical methods and cost optimized electronics.
Traction is proven in POC projects in water utilities and process industry. Team combines experience from global tech. business, university science and daily maintenance tasks.
A-round investment 2 MEUR in end 2019 for globalization.  
 
","2017-06-01","Espoo","Finland","oil_and_gas","metals_minerals_mining","water_and_wastewater","viimatech"
"Viimatech is the cost leader in pump monitoring.","Unique solution to optimize pumps and enable 1 000 000 000 EUR energy and maintenance cost savings in Europe with 30% costs to traditional systems. Extensive, scalable and easy to use solution is based to mathematical methods and cost optimized electronics.
Traction is proven in POC projects in water utilities and process industry. Team combines experience from global tech. business, university science and daily maintenance tasks.
A-round investment 2 MEUR in end 2019 for globalization.  
 
","2017-06-01","Espoo","Finland","oil_and_gas","metals_minerals_mining","water_and_wastewater","is"
"Viimatech is the cost leader in pump monitoring.","Unique solution to optimize pumps and enable 1 000 000 000 EUR energy and maintenance cost savings in Europe with 30% costs to traditional systems. Extensive, scalable and easy to use solution is based to mathematical methods and cost optimized electronics.
Traction is proven in POC projects in water utilities and process industry. Team combines experience from global tech. business, university science and daily maintenance tasks.
A-round investment 2 MEUR in end 2019 for globalization.  
 
","2017-06-01","Espoo","Finland","oil_and_gas","metals_minerals_mining","water_and_wastewater","the"
"Viimatech is the cost leader in pump monitoring.","Unique solution to optimize pumps and enable 1 000 000 000 EUR energy and maintenance cost savings in Europe with 30% costs to traditional systems. Extensive, scalable and easy to use solution is based to mathematical methods and cost optimized electronics.
Traction is proven in POC projects in water utilities and process industry. Team combines experience from global tech. business, university science and daily maintenance tasks.
A-round investment 2 MEUR in end 2019 for globalization.  
 
","2017-06-01","Espoo","Finland","oil_and_gas","metals_minerals_mining","water_and_wastewater","cost"
"Viimatech is the cost leader in pump monitoring.","Unique solution to optimize pumps and enable 1 000 000 000 EUR energy and maintenance cost savings in Europe with 30% costs to traditional systems. Extensive, scalable and easy to use solution is based to mathematical methods and cost optimized electronics.
Traction is proven in POC projects in water utilities and process industry. Team combines experience from global tech. business, university science and daily maintenance tasks.
A-round investment 2 MEUR in end 2019 for globalization.  
 
","2017-06-01","Espoo","Finland","oil_and_gas","metals_minerals_mining","water_and_wastewater","leader"
"Viimatech is the cost leader in pump monitoring.","Unique solution to optimize pumps and enable 1 000 000 000 EUR energy and maintenance cost savings in Europe with 30% costs to traditional systems. Extensive, scalable and easy to use solution is based to mathematical methods and cost optimized electronics.
Traction is proven in POC projects in water utilities and process industry. Team combines experience from global tech. business, university science and daily maintenance tasks.
A-round investment 2 MEUR in end 2019 for globalization.  
 
","2017-06-01","Espoo","Finland","oil_and_gas","metals_minerals_mining","water_and_wastewater","in"
"Viimatech is the cost leader in pump monitoring.","Unique solution to optimize pumps and enable 1 000 000 000 EUR energy and maintenance cost savings in Europe with 30% costs to traditional systems. Extensive, scalable and easy to use solution is based to mathematical methods and cost optimized electronics.
Traction is proven in POC projects in water utilities and process industry. Team combines experience from global tech. business, university science and daily maintenance tasks.
A-round investment 2 MEUR in end 2019 for globalization.  
 
","2017-06-01","Espoo","Finland","oil_and_gas","metals_minerals_mining","water_and_wastewater","pump"
"Viimatech is the cost leader in pump monitoring.","Unique solution to optimize pumps and enable 1 000 000 000 EUR energy and maintenance cost savings in Europe with 30% costs to traditional systems. Extensive, scalable and easy to use solution is based to mathematical methods and cost optimized electronics.
Traction is proven in POC projects in water utilities and process industry. Team combines experience from global tech. business, university science and daily maintenance tasks.
A-round investment 2 MEUR in end 2019 for globalization.  
 
","2017-06-01","Espoo","Finland","oil_and_gas","metals_minerals_mining","water_and_wastewater","monitoring"
"We let you see the quality of water in new light!","Water is set to become the new oil as water scarcity spreads. Understanding the water quality continuously is the key for optimizing the water usage in industry and to prevent pollution.

This can be done with our TWA - Total Water Analyser™ technology, which lets customer truly understand the quality of the water – realtime. 

7 (years University R&D) + 4 (fulltime employees) + 1 (year as startup) = 200 000 (first year revenue)

We are looking 300k€ investment for market segmentation and entry.","2017-07-01","Oulu","Finland","water_and_wastewater","NULL","NULL","we"
"We let you see the quality of water in new light!","Water is set to become the new oil as water scarcity spreads. Understanding the water quality continuously is the key for optimizing the water usage in industry and to prevent pollution.

This can be done with our TWA - Total Water Analyser™ technology, which lets customer truly understand the quality of the water – realtime. 

7 (years University R&D) + 4 (fulltime employees) + 1 (year as startup) = 200 000 (first year revenue)

We are looking 300k€ investment for market segmentation and entry.","2017-07-01","Oulu","Finland","water_and_wastewater","NULL","NULL","let"
"We let you see the quality of water in new light!","Water is set to become the new oil as water scarcity spreads. Understanding the water quality continuously is the key for optimizing the water usage in industry and to prevent pollution.

This can be done with our TWA - Total Water Analyser™ technology, which lets customer truly understand the quality of the water – realtime. 

7 (years University R&D) + 4 (fulltime employees) + 1 (year as startup) = 200 000 (first year revenue)

We are looking 300k€ investment for market segmentation and entry.","2017-07-01","Oulu","Finland","water_and_wastewater","NULL","NULL","you"
"We let you see the quality of water in new light!","Water is set to become the new oil as water scarcity spreads. Understanding the water quality continuously is the key for optimizing the water usage in industry and to prevent pollution.

This can be done with our TWA - Total Water Analyser™ technology, which lets customer truly understand the quality of the water – realtime. 

7 (years University R&D) + 4 (fulltime employees) + 1 (year as startup) = 200 000 (first year revenue)

We are looking 300k€ investment for market segmentation and entry.","2017-07-01","Oulu","Finland","water_and_wastewater","NULL","NULL","see"
"We let you see the quality of water in new light!","Water is set to become the new oil as water scarcity spreads. Understanding the water quality continuously is the key for optimizing the water usage in industry and to prevent pollution.

This can be done with our TWA - Total Water Analyser™ technology, which lets customer truly understand the quality of the water – realtime. 

7 (years University R&D) + 4 (fulltime employees) + 1 (year as startup) = 200 000 (first year revenue)

We are looking 300k€ investment for market segmentation and entry.","2017-07-01","Oulu","Finland","water_and_wastewater","NULL","NULL","the"
"We let you see the quality of water in new light!","Water is set to become the new oil as water scarcity spreads. Understanding the water quality continuously is the key for optimizing the water usage in industry and to prevent pollution.

This can be done with our TWA - Total Water Analyser™ technology, which lets customer truly understand the quality of the water – realtime. 

7 (years University R&D) + 4 (fulltime employees) + 1 (year as startup) = 200 000 (first year revenue)

We are looking 300k€ investment for market segmentation and entry.","2017-07-01","Oulu","Finland","water_and_wastewater","NULL","NULL","quality"
"We let you see the quality of water in new light!","Water is set to become the new oil as water scarcity spreads. Understanding the water quality continuously is the key for optimizing the water usage in industry and to prevent pollution.

This can be done with our TWA - Total Water Analyser™ technology, which lets customer truly understand the quality of the water – realtime. 

7 (years University R&D) + 4 (fulltime employees) + 1 (year as startup) = 200 000 (first year revenue)

We are looking 300k€ investment for market segmentation and entry.","2017-07-01","Oulu","Finland","water_and_wastewater","NULL","NULL","of"
"We let you see the quality of water in new light!","Water is set to become the new oil as water scarcity spreads. Understanding the water quality continuously is the key for optimizing the water usage in industry and to prevent pollution.

This can be done with our TWA - Total Water Analyser™ technology, which lets customer truly understand the quality of the water – realtime. 

7 (years University R&D) + 4 (fulltime employees) + 1 (year as startup) = 200 000 (first year revenue)

We are looking 300k€ investment for market segmentation and entry.","2017-07-01","Oulu","Finland","water_and_wastewater","NULL","NULL","water"
"We let you see the quality of water in new light!","Water is set to become the new oil as water scarcity spreads. Understanding the water quality continuously is the key for optimizing the water usage in industry and to prevent pollution.

This can be done with our TWA - Total Water Analyser™ technology, which lets customer truly understand the quality of the water – realtime. 

7 (years University R&D) + 4 (fulltime employees) + 1 (year as startup) = 200 000 (first year revenue)

We are looking 300k€ investment for market segmentation and entry.","2017-07-01","Oulu","Finland","water_and_wastewater","NULL","NULL","in"
"We let you see the quality of water in new light!","Water is set to become the new oil as water scarcity spreads. Understanding the water quality continuously is the key for optimizing the water usage in industry and to prevent pollution.

This can be done with our TWA - Total Water Analyser™ technology, which lets customer truly understand the quality of the water – realtime. 

7 (years University R&D) + 4 (fulltime employees) + 1 (year as startup) = 200 000 (first year revenue)

We are looking 300k€ investment for market segmentation and entry.","2017-07-01","Oulu","Finland","water_and_wastewater","NULL","NULL","new"
"We let you see the quality of water in new light!","Water is set to become the new oil as water scarcity spreads. Understanding the water quality continuously is the key for optimizing the water usage in industry and to prevent pollution.

This can be done with our TWA - Total Water Analyser™ technology, which lets customer truly understand the quality of the water – realtime. 

7 (years University R&D) + 4 (fulltime employees) + 1 (year as startup) = 200 000 (first year revenue)

We are looking 300k€ investment for market segmentation and entry.","2017-07-01","Oulu","Finland","water_and_wastewater","NULL","NULL","light"
"Proptech & fintech","We tell property owners, investors and financial institutes where to invest.

Our platform tells you where to put your money to manage both the value and the costs meaning future repairs and maintenance of your real-estate. Both residential and commercial. E.g. if you’re looking at 20000 units in your portfolio and you have a budget to invest in half… which units should you choose and why?","2015-02-01","Espoo","Finland","financial_and_insurance","construction_and_real_estate","NULL","proptech"
"Proptech & fintech","We tell property owners, investors and financial institutes where to invest.

Our platform tells you where to put your money to manage both the value and the costs meaning future repairs and maintenance of your real-estate. Both residential and commercial. E.g. if you’re looking at 20000 units in your portfolio and you have a budget to invest in half… which units should you choose and why?","2015-02-01","Espoo","Finland","financial_and_insurance","construction_and_real_estate","NULL","fintech"
"Ohjaa knows what a Chinese traveller wants.","For the first time, a Chinese traveller sitting in his couch at his Xi ´An home can discuss his travel plan `face to face ` with another Chinese standing by a window in his Reykjavik house. For the next 10 minutes, he might decide to talk with someone in Paris. Ohjaa is the first face-2-face trip planning service in the world.

Ohjaa engages 200+ Hosts and the Network covers 17 cities across Europe. We will cover all major European cities with 1000+ Hosts by the end of 2019.","2017-03-01","Helsinki","Finland","travel","hospitality_and_travel","NULL","ohjaa"
"Ohjaa knows what a Chinese traveller wants.","For the first time, a Chinese traveller sitting in his couch at his Xi ´An home can discuss his travel plan `face to face ` with another Chinese standing by a window in his Reykjavik house. For the next 10 minutes, he might decide to talk with someone in Paris. Ohjaa is the first face-2-face trip planning service in the world.

Ohjaa engages 200+ Hosts and the Network covers 17 cities across Europe. We will cover all major European cities with 1000+ Hosts by the end of 2019.","2017-03-01","Helsinki","Finland","travel","hospitality_and_travel","NULL","knows"
"Ohjaa knows what a Chinese traveller wants.","For the first time, a Chinese traveller sitting in his couch at his Xi ´An home can discuss his travel plan `face to face ` with another Chinese standing by a window in his Reykjavik house. For the next 10 minutes, he might decide to talk with someone in Paris. Ohjaa is the first face-2-face trip planning service in the world.

Ohjaa engages 200+ Hosts and the Network covers 17 cities across Europe. We will cover all major European cities with 1000+ Hosts by the end of 2019.","2017-03-01","Helsinki","Finland","travel","hospitality_and_travel","NULL","what"
"Ohjaa knows what a Chinese traveller wants.","For the first time, a Chinese traveller sitting in his couch at his Xi ´An home can discuss his travel plan `face to face ` with another Chinese standing by a window in his Reykjavik house. For the next 10 minutes, he might decide to talk with someone in Paris. Ohjaa is the first face-2-face trip planning service in the world.

Ohjaa engages 200+ Hosts and the Network covers 17 cities across Europe. We will cover all major European cities with 1000+ Hosts by the end of 2019.","2017-03-01","Helsinki","Finland","travel","hospitality_and_travel","NULL","a"
"Ohjaa knows what a Chinese traveller wants.","For the first time, a Chinese traveller sitting in his couch at his Xi ´An home can discuss his travel plan `face to face ` with another Chinese standing by a window in his Reykjavik house. For the next 10 minutes, he might decide to talk with someone in Paris. Ohjaa is the first face-2-face trip planning service in the world.

Ohjaa engages 200+ Hosts and the Network covers 17 cities across Europe. We will cover all major European cities with 1000+ Hosts by the end of 2019.","2017-03-01","Helsinki","Finland","travel","hospitality_and_travel","NULL","chinese"
"Ohjaa knows what a Chinese traveller wants.","For the first time, a Chinese traveller sitting in his couch at his Xi ´An home can discuss his travel plan `face to face ` with another Chinese standing by a window in his Reykjavik house. For the next 10 minutes, he might decide to talk with someone in Paris. Ohjaa is the first face-2-face trip planning service in the world.

Ohjaa engages 200+ Hosts and the Network covers 17 cities across Europe. We will cover all major European cities with 1000+ Hosts by the end of 2019.","2017-03-01","Helsinki","Finland","travel","hospitality_and_travel","NULL","traveller"
"Ohjaa knows what a Chinese traveller wants.","For the first time, a Chinese traveller sitting in his couch at his Xi ´An home can discuss his travel plan `face to face ` with another Chinese standing by a window in his Reykjavik house. For the next 10 minutes, he might decide to talk with someone in Paris. Ohjaa is the first face-2-face trip planning service in the world.

Ohjaa engages 200+ Hosts and the Network covers 17 cities across Europe. We will cover all major European cities with 1000+ Hosts by the end of 2019.","2017-03-01","Helsinki","Finland","travel","hospitality_and_travel","NULL","wants"
